State,SAT_P,SAT_RW,SAT_M,SAT_T,ACT_P,ACT_E,ACT_M,ACT_R,ACT_S,ACT_C,t_switch,HI_P_T,HI_P_M
Oregon,43,-0.1996554787332567,-0.18660080303445567,-0.19566545277649644,40,0.1141309682783737,0.1602667722715635,0.18685241538031372,0.20701687169811755,0.1387602641498107,1,-0.19566545277649644,-0.18660080303445567
California,53,-0.8346887110912921,-0.6952853974980971,-0.7686705652953182,31,0.6664582089248086,0.7657190230752564,0.5254631376684912,0.3641278903975815,0.6336395279008762,1,-0.7686705652953182,-0.6952853974980971
Vermont,60,-0.15586008339821977,-0.12301522872650049,-0.13079694947247889,29,1.0063518954764608,0.967536440009822,1.1543116219179599,0.6783499277965094,1.029542938901729,1,-0.13079694947247889,-0.12301522872650049
Georgia,61,-0.7470979204212183,-0.8860421204219627,-0.8227276513819994,55,0.029157546640460996,-0.14245935313028385,-0.00663942592721482,0.08132805673854686,-0.05919144135061655,1,-0.8227276513819994,-0.8860421204219627
Arizona,30,-0.13396238573070132,-0.08062484585453036,-0.10917411503780636,62,-0.9905235130144945,-0.697457249700335,-0.925725672137978,-0.39000499935984495,-0.9004861897274276,0,-0.9004861897274276,-0.697457249700335
Texas,62,-1.2288472691066243,-1.0556036519098433,-1.1470701679020872,45,-0.6081431156438866,-0.24336806159756572,-0.4419960688691549,-0.044360758221024955,-0.40560692597636205,1,-1.1470701679020872,-1.0556036519098433
Indiana,63,-0.593814036748589,-0.5257238660102167,-0.5632536381659292,35,0.454024654830026,0.6143559603743327,0.5738360979953725,0.3955500941374747,0.5346636751506635,1,-0.5632536381659292,-0.5257238660102167
Washington,64,-0.6157117344161075,-0.48333348313824653,-0.552442220948593,29,-0.01332916417849611,0.3620841892061272,0.041733534399668176,0.30128348291779616,0.1882481905249162,1,-0.552442220948593,-0.48333348313824653
Alaska,38,-0.4843255484109967,-0.5045286745742316,-0.4983851348619117,65,-0.9480368021955389,-0.697457249700335,-0.7806067911573324,-0.3585827956199528,-0.8509982633523203,0,-0.8509982633523203,-0.697457249700335
Pennsylvania,65,-0.6376094320836259,-0.5469190574462017,-0.5956878898179381,23,1.0488386062954165,1.1188995027107438,1.0575657012641955,0.7097721315364026,1.0790308652768343,1,-0.5956878898179381,-0.5469190574462017
Virginia,65,-0.17775778106573822,-0.3349671430863511,-0.260533956080514,29,1.0913253171143735,1.0684451484771038,1.2510575425717259,0.772616539016188,1.1285187916519417,1,-0.260533956080514,-0.3349671430863511
New Mexico,11,0.17260538161455713,0.08893668563335012,0.12867706374359134,66,-0.9905235130144945,-0.8992746666349004,-0.7806067911573324,-0.3271605918800596,-0.9004861897274276,0,-0.9004861897274276,-0.8992746666349004
Iowa,2,1.5740580323357385,1.6573808518962447,1.609841222518659,67,0.1141309682783737,0.05935806380428165,0.2835983360340797,0.3327056866576894,0.1882481905249162,0,0.1882481905249162,0.05935806380428165
New York,67,-0.9003818040938474,-0.7164805889340822,-0.8011048169473269,31,1.2187854495712434,1.4216256281125912,1.2510575425717259,0.8983053539757586,1.326470497152367,1,-0.8011048169473269,-0.7164805889340822
Maryland,69,-0.7252002227536998,-0.7800661632420374,-0.7146134792086369,28,1.0063518954764608,0.967536440009822,1.0575657012641955,-5.888890653841083,1.029542938901729,1,-0.7146134792086369,-0.7800661632420374
West Virginia,14,-0.2434508740682936,-0.6105046317541569,-0.43351663155789416,69,-0.395709561549104,-0.8992746666349004,-0.3936231085422736,-0.17004957318059566,-0.554070705101682,0,-0.554070705101682,-0.8992746666349004
