State,SAT_P,SAT_RW,SAT_M,SAT_T,ACT_P,ACT_E,ACT_M,ACT_R,ACT_S,ACT_C,max_p,min_p,min_plus_max,ratio_min_max,t_switch,LO_P_T,LO_P_M
Oregon,43,-0.1996554787332567,0.0043876208526669215,-0.19566545277649644,40,0.1141309682783737,0.1602667722715635,0.18685241538031372,0.20701687169811755,0.1387602641498107,43,40,83,0.9302325579999999,1,0.1387602641498107,0.1602667722715635
California,53,-0.8346887110912921,-0.27826753302440044,-0.7686705652953182,31,0.6664582089248086,0.7657190230752564,0.5254631376684912,0.3641278903975815,0.6336395279008762,53,31,84,0.58490566,1,0.6336395279008762,0.7657190230752564
Vermont,60,-0.15586008339821977,0.039719515087300344,-0.13079694947247889,29,1.0063518954764608,0.967536440009822,1.1543116219179599,0.6783499277965094,1.029542938901729,60,29,89,0.483333333,1,1.029542938901729,0.967536440009822
Georgia,61,-0.7470979204212183,-0.3842632157283007,-0.8227276513819994,55,0.029157546640460996,-0.14245935313028385,-0.00663942592721482,0.08132805673854686,-0.05919144135061655,61,55,116,0.901639344,1,-0.05919144135061655,-0.14245935313028385
Arizona,30,-0.13396238573070132,0.06327411124372262,-0.10917411503780636,62,-0.9905235130144945,-0.697457249700335,-0.925725672137978,-0.39000499935984495,-0.9004861897274276,62,30,92,0.48387096799999996,0,-0.10917411503780636,0.06327411124372262
Texas,62,-1.2288472691066243,-0.47848160035398984,-1.1470701679020872,45,-0.6081431156438866,-0.24336806159756572,-0.4419960688691549,-0.044360758221024955,-0.40560692597636205,62,45,107,0.725806452,1,-0.40560692597636205,-0.24336806159756572
Indiana,63,-0.593814036748589,-0.18404914839871134,-0.5632536381659292,35,0.454024654830026,0.6143559603743327,0.5738360979953725,0.3955500941374747,0.5346636751506635,63,35,98,0.5555555560000001,1,0.5346636751506635,0.6143559603743327
Washington,64,-0.6157117344161075,-0.16049455224228903,-0.552442220948593,29,-0.01332916417849611,0.3620841892061272,0.041733534399668176,0.30128348291779616,0.1882481905249162,64,29,93,0.453125,1,0.1882481905249162,0.3620841892061272
Alaska,38,-0.4843255484109967,-0.17227185032050019,-0.4983851348619117,65,-0.9480368021955389,-0.697457249700335,-0.7806067911573324,-0.3585827956199528,-0.8509982633523203,65,38,103,0.584615385,0,-0.4983851348619117,-0.17227185032050019
Pennsylvania,65,-0.6376094320836259,-0.19582644647692246,-0.5956878898179381,23,1.0488386062954165,1.1188995027107438,1.0575657012641955,0.7097721315364026,1.0790308652768343,65,23,88,0.35384615399999997,1,1.0790308652768343,1.1188995027107438
Virginia,65,-0.17775778106573822,-0.07805346569481106,-0.260533956080514,29,1.0913253171143735,1.0684451484771038,1.2510575425717259,0.772616539016188,1.1285187916519417,65,29,94,0.446153846,1,1.1285187916519417,1.0684451484771038
New Mexico,11,0.17260538161455713,0.15749249586941175,0.12867706374359134,66,-0.9905235130144945,-0.8992746666349004,-0.7806067911573324,-0.3271605918800596,-0.9004861897274276,66,11,77,0.166666667,0,0.12867706374359134,0.15749249586941175
Iowa,2,1.5740580323357385,1.029012553657036,1.609841222518659,67,0.1141309682783737,0.05935806380428165,0.2835983360340797,0.3327056866576894,0.1882481905249162,67,2,69,0.029850746,0,1.609841222518659,1.029012553657036
New York,67,-0.9003818040938474,-0.2900448311026116,-0.8011048169473269,31,1.2187854495712434,1.4216256281125912,1.2510575425717259,0.8983053539757586,1.326470497152367,67,31,98,0.46268656700000005,1,1.326470497152367,1.4216256281125912
Maryland,69,-0.7252002227536998,-5.837152225940058,-0.7146134792086369,28,1.0063518954764608,0.967536440009822,1.0575657012641955,-5.888890653841083,1.029542938901729,69,28,97,0.405797101,1,1.029542938901729,0.967536440009822
West Virginia,14,-0.2434508740682936,-0.2311583407115559,-0.43351663155789416,69,-0.395709561549104,-0.8992746666349004,-0.3936231085422736,-0.17004957318059566,-0.554070705101682,69,14,83,0.202898551,0,-0.43351663155789416,-0.2311583407115559
New Jersey,70,-0.8565864087588105,-0.2547129368679782,-0.7578591480779819,34,1.2187854495712434,1.3207169196453092,1.0091927409373143,0.6783499277965094,1.1780067180270473,70,34,104,0.485714286,1,1.1780067180270473,1.3207169196453092
Rhode Island,71,-0.6595071297511443,-0.27826753302440044,-0.6929906447739643,21,1.3037588712091561,1.0684451484771038,1.299430502898607,0.7411943352762947,1.2274946444021544,71,21,92,0.29577464800000003,1,1.2274946444021544,1.0684451484771038
Kansas,4,1.3769787533280724,0.9465714671095582,1.447669964258615,73,0.0716442574594181,0.05935806380428165,0.13847945505343245,0.20701687169811755,0.08927233777470345,73,4,77,0.054794521,0,1.447669964258615,0.9465714671095582
